# complex Pts;PCIe RD Newdata Same Mem;PCIe RD Reusedata Same Mem;PCIe Newmem;PCIe WR Newdata Same Mem;PCIe RD Reusedata Same Mem;PCIe Newmem
2;0,02009;0,01909;0,01938;0,02097;0,02069;0,0213
4;0,02399;0,02322;0,02356;0,02145;0,02139;0,02176
8;0,03249;0,03235;0,0325;0,02202;0,02212;0,0223
16;0,04814;0,04904;0,04896;0,02359;0,02338;0,02388
32;0,08182;0,08177;0,08165;0,02669;0,02664;0,02755
64;0,14929;0,14901;0,14964;0,03346;0,03343;0,03393
128;0,04034;0,04091;0,04022;0,03717;0,03541;0,03643
256;0,02968;0,02947;0,03069;0,06692;0,06526;0,06832
512;0,05378;0,05152;0,05151;0,07288;0,07191;0,07239
1024;0,05807;0,05768;0,05817;0,07929;0,07851;0,07903
2048;0,0595;0,05936;0,05979;0,08143;0,08021;0,08006
4096;0,08893;0,06236;0,06263;0,0839;0,08375;0,08418
8192;0,06988;0,06905;0,07049;0,09064;0,08901;0,08993
16384;0,09304;0,09247;0,09518;0,10205;0,10121;0,10474
32768;0,12012;0,11927;0,1253;0,12712;0,12618;0,12834
65536;0,17577;0,17821;0,18269;0,17911;0,17786;0,18005
131072;0,28614;0,28556;0,30163;0,2731;0,27293;0,27617
262144;0,42428;0,42399;0,47885;0,46349;0,45946;0,44804
524288;0,79809;0,80208;0,85527;0,78727;0,79198;0,79041
1048576;1,50565;1,50244;1,59573;1,46246;1,45426;1,45123
2097152;2,94786;2,94948;3,15716;2,78621;2,78617;2,79184
4194304;5,8031;5,80445;10,22722;5,46644;5,45274;5,4703
8388608;11,53902;11,54537;21,21404;10,77888;10,77882;10,81091
16777216;22,98815;22,99426;42,48507;21,42554;21,42923;21,43208
33554432;45,94393;45,91493;85,13335;42,72212;42,69052;42,72732
67108864;91,72357;91,73383;170,46596;85,227;85,22224;85,27398
134217728;183,45241;183,43993;340,95906;170,34504;170,31583;170,26639